Archetype,House number,CAH Type,Operation,Solar,Grid Cost,Optimal PV,Optimal Battery,Total Cost,Total Load,Grid Import
Detached,DetachedA_54.txt,H2,safe_unidirectional,best,368.634,3.01,11.475,11829.0,4023.38,1855.24
Detached,DetachedD_7.txt,H1,hybrid_bidirectional,best,238.12,5.18,16.425,18762.0,5799.49,2308.29
Detached,DetachedA_35.txt,H2,hybrid_bidirectional,best,200.102,3.57,1.575,8253.0,4161.11,1998.08
Detached,DetachedD_27.txt,H1,safe_unidirectional,worst,445.886,7.98,28.8,30582.0,5596.05,2494.75
Detached,DetachedA_37.txt,H2,safe_unidirectional,worst,425.535,5.25,19.575,20421.0,4126.92,1988.08
Detached,DetachedA_46.txt,H1,safe_unidirectional,best,365.983,4.06,21.375,18786.0,5422.75,2304.9
Detached,DetachedA_30.txt,H1,hybrid_bidirectional,worst,280.533,7.14,25.65,27306.0,5577.02,2521.55
Detached,DetachedA_54.txt,H2,hybrid_bidirectional,worst,212.822,5.95,8.325,16491.0,4140.32,1994.88
Detached,DetachedA_33.txt,H2,safe_unidirectional,best,373.523,3.22,11.025,12054.0,4027.79,1854.84
Detached,DetachedA_30.txt,H1,hybrid_bidirectional,best,221.346,4.62,15.75,17262.0,5556.81,2184.03
Detached,DetachedA_54.txt,H2,hybrid_bidirectional,best,192.562,3.36,1.8,7920.0,4177.5,2009.65
Detached,DetachedD_27.txt,H1,safe_unidirectional,best,388.973,4.34,21.6,19482.0,5596.05,2335.77
Detached,DetachedD_7.txt,H2,safe_unidirectional,worst,447.295,5.74,21.15,22206.0,4229.42,2047.55
Detached,DetachedA_21.txt,H1,safe_unidirectional,worst,460.736,8.05,28.35,30513.0,5663.86,2555.36
Detached,DetachedA_33.txt,H2,hybrid_bidirectional,worst,217.808,5.81,8.55,16305.0,4138.05,1959.31
Detached,DetachedA_46.txt,H1,hybrid_bidirectional,worst,279.622,7.07,25.65,27159.0,5491.62,2512.11
Detached,DetachedA_37.txt,H2,safe_unidirectional,best,379.112,3.29,11.925,12633.0,4126.92,1892.62
Detached,DetachedA_33.txt,H2,hybrid_bidirectional,best,203.186,3.5,1.575,8106.0,4182.01,1975.12
Detached,DetachedA_46.txt,H1,hybrid_bidirectional,best,220.926,4.69,15.975,17517.0,5470.09,2191.08
Detached,DetachedA_37.txt,H2,hybrid_bidirectional,worst,223.451,5.67,8.55,16011.0,4254.71,2076.46
Detached,DetachedD_27.txt,H1,hybrid_bidirectional,worst,291.855,7.84,26.1,28992.0,5682.45,2560.3
Detached,DetachedA_21.txt,H1,safe_unidirectional,best,411.084,4.2,22.5,19620.0,5663.86,2444.79
Detached,DetachedD_7.txt,H2,safe_unidirectional,best,403.479,3.43,12.375,13143.0,4229.42,1943.58
Detached,DetachedA_40.txt,H1,safe_unidirectional,worst,443.361,7.77,28.575,30033.0,5539.52,2495.99
Detached,DetachedA_30.txt,H2,safe_unidirectional,worst,392.392,5.04,18.9,19656.0,3999.81,1899.77
Detached,DetachedA_37.txt,H2,hybrid_bidirectional,best,202.506,3.64,1.575,8400.0,4303.64,2069.14
Detached,DetachedD_27.txt,H1,hybrid_bidirectional,best,231.141,4.83,17.325,18459.0,5666.3,2257.0
Detached,DetachedD_7.txt,H2,hybrid_bidirectional,worst,231.607,6.37,9.675,18021.0,4366.04,2105.51
Detached,DetachedD_8.txt,H1,safe_unidirectional,worst,461.243,8.12,29.025,30984.0,5642.53,2558.11
Detached,DetachedA_21.txt,H1,hybrid_bidirectional,worst,299.47,7.98,27.0,29718.0,5753.2,2615.64
Detached,DetachedA_46.txt,H2,safe_unidirectional,worst,383.114,5.25,18.675,19989.0,3917.83,1873.6
Detached,DetachedA_40.txt,H1,safe_unidirectional,best,396.145,4.13,22.05,19257.0,5539.52,2401.86
Detached,DetachedA_30.txt,H2,safe_unidirectional,best,345.074,3.15,10.35,11583.0,3999.81,1813.99
Detached,DetachedD_7.txt,H2,hybrid_bidirectional,best,217.219,3.92,1.575,8988.0,4416.39,2140.82
Detached,DetachedA_21.txt,H1,hybrid_bidirectional,best,240.608,4.9,17.325,18606.0,5731.08,2302.46
Detached,DetachedA_23.txt,H1,safe_unidirectional,worst,430.517,7.7,28.125,29670.0,5545.89,2476.6
Detached,DetachedD_27.txt,H2,safe_unidirectional,worst,419.922,5.46,21.6,21834.0,4091.14,1960.53
Detached,DetachedD_8.txt,H1,safe_unidirectional,best,414.218,4.06,22.725,19434.0,5642.53,2453.5
Detached,DetachedA_30.txt,H2,hybrid_bidirectional,worst,206.603,5.46,7.875,15246.0,4122.83,1926.85
Detached,DetachedA_40.txt,H1,hybrid_bidirectional,worst,291.163,7.84,26.325,29100.0,5619.86,2548.04
Detached,DetachedA_46.txt,H2,safe_unidirectional,best,347.245,3.15,11.25,12015.0,3917.83,1782.81
Detached,DetachedA_30.txt,H2,hybrid_bidirectional,best,194.648,3.29,1.8,7773.0,4159.17,1948.23
Detached,DetachedA_23.txt,H1,safe_unidirectional,best,386.176,4.2,20.925,18864.0,5545.89,2353.86
Detached,DetachedD_18.txt,H1,safe_unidirectional,worst,473.741,8.05,28.575,30621.0,5793.09,2618.14
Detached,DetachedD_8.txt,H1,hybrid_bidirectional,worst,295.473,8.19,26.325,29835.0,5731.55,2612.8
Detached,DetachedA_40.txt,H1,hybrid_bidirectional,best,227.078,4.83,17.325,18459.0,5600.47,2239.75
Detached,DetachedA_46.txt,H2,hybrid_bidirectional,worst,199.247,5.46,7.65,15138.0,4027.76,1910.64
Detached,DetachedA_21.txt,H2,safe_unidirectional,worst,439.796,5.81,20.25,21921.0,4158.95,2016.0
Detached,DetachedD_27.txt,H2,safe_unidirectional,best,386.114,3.22,12.825,12918.0,4091.14,1871.69
Detached,DetachedA_46.txt,H2,hybrid_bidirectional,best,188.43,3.36,1.575,7812.0,4064.1,1921.42
Detached,DetachedD_8.txt,H1,hybrid_bidirectional,best,237.909,4.76,17.775,18528.0,5709.67,2326.39
Detached,DetachedA_23.txt,H1,hybrid_bidirectional,worst,288.303,7.42,26.55,28326.0,5623.48,2560.4
Detached,DetachedD_18.txt,H1,safe_unidirectional,best,423.484,4.2,22.5,19620.0,5793.09,2481.11
Detached,DetachedD_27.txt,H2,hybrid_bidirectional,worst,223.542,6.3,8.325,17226.0,4213.97,2033.71
Detached,DetachedA_24.txt,H1,safe_unidirectional,worst,422.671,7.49,27.225,28797.0,5444.8,2449.92
Detached,DetachedA_21.txt,H2,safe_unidirectional,best,396.116,3.36,12.6,13104.0,4158.95,1915.03
Detached,DetachedA_40.txt,H2,safe_unidirectional,worst,420.453,5.46,21.15,21618.0,4034.61,1953.7
Detached,DetachedA_23.txt,H1,hybrid_bidirectional,best,231.379,4.76,16.425,17880.0,5600.18,2239.57
Detached,DetachedD_27.txt,H2,hybrid_bidirectional,best,202.786,3.64,2.025,8616.0,4251.58,2032.99
Detached,DetachedD_18.txt,H1,hybrid_bidirectional,worst,303.389,7.98,25.875,29178.0,5885.13,2705.48
Detached,DetachedA_52.txt,H1,safe_unidirectional,worst,431.895,7.42,28.125,29082.0,5591.73,2494.93
Detached,DetachedA_21.txt,H2,hybrid_bidirectional,worst,235.827,6.37,9.0,17697.0,4287.36,2082.17
Detached,DetachedD_8.txt,H2,safe_unidirectional,worst,433.012,5.88,20.7,22284.0,4137.61,2001.75
Detached,DetachedA_24.txt,H1,safe_unidirectional,best,370.468,4.06,21.6,18894.0,5444.8,2320.31
Detached,DetachedA_40.txt,H2,safe_unidirectional,best,377.624,3.36,11.925,12780.0,4034.61,1861.97
Detached,DetachedD_18.txt,H1,hybrid_bidirectional,best,244.222,4.97,17.55,18861.0,5863.45,2339.32
Detached,DetachedA_21.txt,H2,hybrid_bidirectional,best,213.335,3.78,1.8,8802.0,4326.26,2070.52
Detached,DetachedA_23.txt,H2,safe_unidirectional,worst,407.739,5.25,20.025,20637.0,4040.98,1935.46
Detached,DetachedD_31.txt,H1,safe_unidirectional,worst,428.38,7.49,27.9,29121.0,5595.05,2502.4
Detached,DetachedA_52.txt,H1,safe_unidirectional,best,388.085,4.06,21.825,19002.0,5591.73,2390.33
Detached,DetachedA_24.txt,H1,hybrid_bidirectional,worst,268.154,7.28,26.1,27816.0,5523.59,2506.4
Detached,DetachedA_40.txt,H2,hybrid_bidirectional,worst,215.72,6.02,8.325,16638.0,4157.93,2041.8
Detached,DetachedD_8.txt,H2,safe_unidirectional,best,392.535,3.22,12.825,12918.0,4137.61,1895.31
Detached,DetachedA_24.txt,H1,hybrid_bidirectional,best,212.97,4.69,16.875,17949.0,5500.21,2176.01
Detached,DetachedA_52.txt,H1,hybrid_bidirectional,worst,283.826,7.42,26.325,28218.0,5670.34,2542.28
Detached,DetachedD_39.txt,H1,safe_unidirectional,worst,451.638,7.98,28.35,30366.0,5678.02,2568.8
Detached,DetachedA_40.txt,H2,hybrid_bidirectional,best,195.629,3.64,1.575,8400.0,4200.22,2042.28
Detached,DetachedD_31.txt,H1,safe_unidirectional,best,378.934,4.2,20.7,18756.0,5595.05,2345.97
Detached,DetachedD_18.txt,H2,safe_unidirectional,worst,444.086,5.74,20.475,21882.0,4288.18,2050.26
Detached,DetachedD_8.txt,H2,hybrid_bidirectional,worst,231.1,6.51,8.325,17667.0,4272.43,2077.79
Detached,DetachedA_23.txt,H2,safe_unidirectional,best,370.095,3.15,11.475,12123.0,4040.98,1865.21
Detached,DetachedA_52.txt,H1,hybrid_bidirectional,best,225.346,4.62,17.325,18018.0,5654.22,2279.52
Detached,DetachedD_8.txt,H2,hybrid_bidirectional,best,210.459,3.71,1.575,8547.0,4312.1,2092.82
Detached,DetachedA_23.txt,H2,hybrid_bidirectional,worst,225.956,5.88,7.875,16128.0,4161.86,1979.97
Detached,DetachedD_31.txt,H1,hybrid_bidirectional,worst,283.584,7.49,25.425,27933.0,5676.89,2552.4
Detached,DetachedD_39.txt,H1,safe_unidirectional,best,408.703,4.2,22.275,19512.0,5678.02,2437.5
