Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost
Detached,1,H3,hybrid_bidirectional,worst,1860.29816,2549.5185,580.977078
Detached,1,H3,hybrid_bidirectional,best,1668.525436,2549.5185,513.483895
Detached,1,H1,safe_unidirectional,worst,2004.589004,2680.2909,632.670844
Detached,1,H1,safe_unidirectional,best,1797.3529,2680.2909,559.791088
Detached,1,H1,hybrid_bidirectional,worst,2004.589004,2680.2909,632.670844
Detached,1,H1,hybrid_bidirectional,best,1797.3529,2680.2909,559.791088
Detached,1,H2,safe_unidirectional,worst,2004.589004,2680.2909,632.670844
Detached,1,H2,safe_unidirectional,best,1797.3529,2680.2909,559.791088
Detached,1,H2,hybrid_bidirectional,worst,2004.589004,2680.2909,632.670844
Detached,1,H2,hybrid_bidirectional,best,1797.3529,2680.2909,559.791088
Detached,1,H3,safe_unidirectional,worst,2004.589004,2680.2909,632.670844
Detached,1,H3,safe_unidirectional,best,1797.3529,2680.2909,559.791088
Detached,1,H3,hybrid_bidirectional,worst,2004.589004,2680.2909,632.670844
Detached,1,H3,hybrid_bidirectional,best,1797.3529,2680.2909,559.791088
Detached,1,H1,safe_unidirectional,worst,1946.038816,2608.6379,598.973679
Detached,1,H1,safe_unidirectional,best,1727.320288,2608.6379,522.059619
Detached,1,H1,hybrid_bidirectional,worst,1946.038816,2608.6379,598.973679
Detached,1,H1,hybrid_bidirectional,best,1727.320288,2608.6379,522.059619
Detached,1,H2,safe_unidirectional,worst,1946.038816,2608.6379,598.973679
Detached,1,H2,safe_unidirectional,best,1727.320288,2608.6379,522.059619
Detached,1,H2,hybrid_bidirectional,worst,1946.038816,2608.6379,598.973679
Detached,1,H2,hybrid_bidirectional,best,1727.320288,2608.6379,522.059619
Detached,1,H3,safe_unidirectional,worst,1946.038816,2608.6379,598.973679
Detached,1,H3,safe_unidirectional,best,1727.320288,2608.6379,522.059619
Detached,1,H3,hybrid_bidirectional,worst,1946.038816,2608.6379,598.973679
Detached,1,H3,hybrid_bidirectional,best,1727.320288,2608.6379,522.059619
Detached,1,H1,safe_unidirectional,worst,1902.528872,2553.2316,595.554927
Detached,1,H1,safe_unidirectional,best,1689.09704,2553.2316,520.497673
Detached,1,H1,hybrid_bidirectional,worst,1902.528872,2553.2316,595.554927
Detached,1,H1,hybrid_bidirectional,best,1689.09704,2553.2316,520.497673
Detached,1,H2,safe_unidirectional,worst,1902.528872,2553.2316,595.554927
Detached,1,H2,safe_unidirectional,best,1689.09704,2553.2316,520.497673
Detached,1,H2,hybrid_bidirectional,worst,1902.528872,2553.2316,595.554927
Detached,1,H2,hybrid_bidirectional,best,1689.09704,2553.2316,520.497673
Detached,1,H3,safe_unidirectional,worst,1902.528872,2553.2316,595.554927
Detached,1,H3,safe_unidirectional,best,1689.09704,2553.2316,520.497673
Detached,1,H3,hybrid_bidirectional,worst,1902.528872,2553.2316,595.554927
Detached,1,H3,hybrid_bidirectional,best,1689.09704,2553.2316,520.497673
Detached,1,H1,safe_unidirectional,worst,1803.60212,2472.4284,565.928595
Detached,1,H1,safe_unidirectional,best,1603.2532,2472.4284,495.486589
Detached,1,H1,hybrid_bidirectional,worst,1803.60212,2472.4284,565.928595
