Archetype,CAH Type,Operation,Solar,CAPEX,OPEX Savings
Detached,H1,hybrid_bidirectional,worst,29100.0,2110.8268000000003
Detached,H2,safe_unidirectional,best,12015.0,1294.8247999999999
Detached,H2,hybrid_bidirectional,best,7773.0,1447.4218
Detached,H1,safe_unidirectional,best,18864.0,2015.8138000000004
Detached,H1,safe_unidirectional,worst,30621.0,1928.2488000000003
Detached,H1,hybrid_bidirectional,worst,29835.0,2106.5168000000003
Detached,H1,hybrid_bidirectional,best,18459.0,2174.9118000000003
Detached,H2,hybrid_bidirectional,worst,15138.0,1442.8228
Detached,H2,safe_unidirectional,worst,21921.0,1202.2738
Detached,H2,safe_unidirectional,best,12918.0,1255.9558
Detached,H2,hybrid_bidirectional,best,7812.0,1453.6398
Detached,H1,hybrid_bidirectional,best,18528.0,2164.0808
Detached,H1,hybrid_bidirectional,worst,28326.0,2113.6868000000004
Detached,H1,safe_unidirectional,best,19620.0,1978.5058000000004
Detached,H2,hybrid_bidirectional,worst,17226.0,1418.5278
Detached,H1,safe_unidirectional,worst,28797.0,1979.3188000000002
Detached,H2,safe_unidirectional,best,13104.0,1245.9538
Detached,H2,safe_unidirectional,worst,21618.0,1221.6168
Detached,H1,hybrid_bidirectional,best,17880.0,2170.6108000000004
Detached,H2,hybrid_bidirectional,best,8616.0,1439.2838
Detached,H1,hybrid_bidirectional,worst,29178.0,2098.6008
Detached,H1,safe_unidirectional,worst,29082.0,1970.0948000000003
Detached,H2,hybrid_bidirectional,worst,17697.0,1406.2428
Detached,H2,safe_unidirectional,worst,22284.0,1209.0578
Detached,H1,safe_unidirectional,best,18894.0,2031.5218000000002
Detached,H2,safe_unidirectional,best,12780.0,1264.4458
Detached,H1,hybrid_bidirectional,best,18861.0,2157.7678
Detached,H2,hybrid_bidirectional,best,8802.0,1428.7348
Detached,H2,safe_unidirectional,worst,20637.0,1234.3308
Detached,H1,safe_unidirectional,worst,29121.0,1973.6098000000002
Detached,H1,safe_unidirectional,best,19002.0,2013.9048000000003
Detached,H1,hybrid_bidirectional,worst,27816.0,2133.8358000000003
Detached,H2,hybrid_bidirectional,worst,16638.0,1426.3498
Detached,H2,safe_unidirectional,best,12918.0,1249.5348
Detached,H1,hybrid_bidirectional,best,17949.0,2189.0198000000005
Detached,H1,hybrid_bidirectional,worst,28218.0,2118.1638000000003
Detached,H1,safe_unidirectional,worst,30366.0,1950.3518000000004
Detached,H2,hybrid_bidirectional,best,8400.0,1446.4408
Detached,H1,safe_unidirectional,best,18756.0,2023.0558000000003
Detached,H2,safe_unidirectional,worst,21882.0,1197.9838
Detached,H2,hybrid_bidirectional,worst,17667.0,1410.9698
Detached,H2,safe_unidirectional,best,12123.0,1271.9748
Detached,H1,hybrid_bidirectional,best,18018.0,2176.6438000000003
Detached,H2,hybrid_bidirectional,best,8547.0,1431.6108
Detached,H2,hybrid_bidirectional,worst,16128.0,1416.1138
Detached,H1,hybrid_bidirectional,worst,27933.0,2118.4058000000005
Detached,H1,safe_unidirectional,best,19512.0,1993.2868000000003
Detached,H2,safe_unidirectional,worst,20205.0,1256.2178
Detached,H2,safe_unidirectional,best,13095.0,1225.1078
Detached,H1,safe_unidirectional,worst,29523.0,1967.2088000000003
Detached,H2,hybrid_bidirectional,best,8106.0,1427.9108
Detached,H1,hybrid_bidirectional,best,17664.0,2174.2638
Detached,H1,hybrid_bidirectional,worst,29070.0,2103.5768000000003
Detached,H2,hybrid_bidirectional,worst,17658.0,1409.4068
Detached,H1,safe_unidirectional,worst,29484.0,1949.6568000000002
Detached,H2,safe_unidirectional,worst,20559.0,1236.1278
Detached,H1,safe_unidirectional,best,19188.0,2019.2008000000003
Detached,H2,safe_unidirectional,best,12525.0,1292.5628
Detached,H2,hybrid_bidirectional,best,8910.0,1425.7928
Detached,H1,hybrid_bidirectional,best,18459.0,2160.3978
Detached,H1,safe_unidirectional,worst,28905.0,1968.9828000000002
Detached,H2,safe_unidirectional,worst,20127.0,1229.3398
Detached,H1,safe_unidirectional,best,19149.0,1994.9628000000002
Detached,H2,hybrid_bidirectional,worst,15765.0,1436.8558
Detached,H1,hybrid_bidirectional,worst,28512.0,2124.0228
Detached,H2,safe_unidirectional,best,12270.0,1275.3627999999999
Detached,H1,safe_unidirectional,best,19149.0,2026.5168000000003
Detached,H2,hybrid_bidirectional,best,8175.0,1456.5718
Detached,H1,safe_unidirectional,worst,29238.0,1982.8328000000004
Detached,H1,hybrid_bidirectional,best,18243.0,2183.6228
Detached,H2,hybrid_bidirectional,worst,15903.0,1418.8018
Detached,H1,hybrid_bidirectional,worst,28629.0,2108.0008000000003
Detached,H2,safe_unidirectional,worst,21843.0,1213.5858
Detached,H2,safe_unidirectional,best,12054.0,1273.8728
Detached,H1,hybrid_bidirectional,worst,28188.0,2122.0998000000004
Detached,H2,hybrid_bidirectional,best,8067.0,1434.1388
Detached,H1,hybrid_bidirectional,best,18234.0,2157.4778
Detached,H2,hybrid_bidirectional,worst,16089.0,1428.7538
Detached,H1,safe_unidirectional,best,18825.0,2038.7188000000003
Detached,H1,safe_unidirectional,worst,30072.0,1950.6768000000002
Detached,H2,safe_unidirectional,best,12957.0,1252.4258
Detached,H2,safe_unidirectional,worst,20784.0,1236.5358
Detached,H1,hybrid_bidirectional,best,18135.0,2177.3668000000002
Detached,H2,hybrid_bidirectional,best,8067.0,1443.0488
Detached,H1,hybrid_bidirectional,worst,28335.0,2115.7868000000003
Detached,H1,safe_unidirectional,worst,29856.0,1977.2728000000002
Detached,H2,hybrid_bidirectional,worst,17226.0,1422.7428
Detached,H2,safe_unidirectional,worst,20892.0,1223.6778
Detached,H1,safe_unidirectional,best,19296.0,2013.9958000000001
Detached,H2,safe_unidirectional,best,12564.0,1276.6768
Detached,H1,hybrid_bidirectional,best,17880.0,2179.7908
Detached,H2,hybrid_bidirectional,best,8616.0,1435.8268
Detached,H2,safe_unidirectional,worst,20676.0,1238.4778000000001
Detached,H1,safe_unidirectional,worst,30336.0,1969.0198000000003
Detached,H1,safe_unidirectional,best,18933.0,2024.6608000000003
Detached,H1,hybrid_bidirectional,worst,29355.0,2103.3388000000004
Detached,H2,hybrid_bidirectional,worst,16266.0,1425.1788
Detached,H2,safe_unidirectional,best,12378.0,1255.1308
Detached,H1,hybrid_bidirectional,best,18390.0,2172.1478
Detached,H2,hybrid_bidirectional,best,8322.0,1442.2348
Detached,H1,hybrid_bidirectional,worst,28845.0,2121.5808
Detached,H2,safe_unidirectional,best,12408.0,1275.0018
Detached,H1,safe_unidirectional,best,19404.0,2020.6898000000003
Detached,H1,safe_unidirectional,worst,29346.0,1953.5238000000004
Detached,H2,safe_unidirectional,worst,20931.0,1244.7968
Detached,H2,hybrid_bidirectional,worst,16305.0,1427.9548
Detached,H1,hybrid_bidirectional,best,18018.0,2174.4328000000005
Detached,H2,hybrid_bidirectional,worst,16089.0,1429.8448
Detached,H2,hybrid_bidirectional,best,8361.0,1435.5528
Detached,H1,hybrid_bidirectional,worst,29286.0,2118.1818000000003
Detached,H1,safe_unidirectional,best,19218.0,2000.6458000000002
Detached,H1,safe_unidirectional,worst,28974.0,1967.8178000000003
Detached,H2,safe_unidirectional,worst,21510.0,1220.0028
Detached,H2,safe_unidirectional,best,12153.0,1279.7928
Detached,H2,hybrid_bidirectional,best,8214.0,1439.8838
Detached,H1,hybrid_bidirectional,best,18567.0,2178.4718000000003
Detached,H2,hybrid_bidirectional,worst,16668.0,1429.8648
Detached,H1,hybrid_bidirectional,worst,28443.0,2103.5598000000005
Detached,H2,safe_unidirectional,worst,21255.0,1240.3228
Detached,H1,safe_unidirectional,worst,29817.0,1951.5778000000003
Detached,H1,safe_unidirectional,best,18894.0,2021.9158000000002
Detached,H2,safe_unidirectional,best,12771.0,1271.1578
Detached,H2,hybrid_bidirectional,best,8175.0,1445.3988
Detached,H1,safe_unidirectional,worst,30219.0,1936.9898000000003
Detached,H1,hybrid_bidirectional,best,18399.0,2170.8888
