Archetype,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost,Grid Cost,Grid Emissions,Independence
Detached,H1,hybrid_bidirectional,best,2438,3804,288,853,395,36
Detached,H1,hybrid_bidirectional,worst,2802,3812,358,981,454,26
Detached,H1,safe_unidirectional,best,2704,3622,600,946,438,25
Detached,H1,safe_unidirectional,worst,2932,3622,677,1026,475,19
Detached,H2,hybrid_bidirectional,best,1475,3304,160,516,239,55
Detached,H2,hybrid_bidirectional,worst,1934,3313,218,677,313,42
Detached,H2,safe_unidirectional,best,2179,3096,563,763,353,30
Detached,H2,safe_unidirectional,worst,2408,3096,641,843,390,22
Detached,H3,hybrid_bidirectional,best,878,2920,141,307,142,70
Detached,H3,hybrid_bidirectional,worst,1362,2903,233,477,221,53
Detached,H3,safe_unidirectional,best,1828,2732,538,640,296,33
Detached,H3,safe_unidirectional,worst,2051,2732,616,718,332,25
Semi-detached,H1,hybrid_bidirectional,best,2343,3659,274,820,380,36
Semi-detached,H1,hybrid_bidirectional,worst,2691,3667,339,942,436,27
Semi-detached,H1,safe_unidirectional,best,2613,3487,571,914,423,25
Semi-detached,H1,safe_unidirectional,worst,2827,3487,644,989,458,19
Semi-detached,H2,hybrid_bidirectional,best,1393,3159,151,488,226,56
Semi-detached,H2,hybrid_bidirectional,worst,1835,3168,205,642,297,42
Semi-detached,H2,safe_unidirectional,best,2089,2961,534,731,338,29
Semi-detached,H2,safe_unidirectional,worst,2303,2961,607,806,373,22
Semi-detached,H3,hybrid_bidirectional,best,820,2779,128,287,133,70
Semi-detached,H3,hybrid_bidirectional,worst,1284,2762,215,449,208,54
Semi-detached,H3,safe_unidirectional,best,1737,2596,510,608,281,33
Semi-detached,H3,safe_unidirectional,worst,1946,2596,582,681,315,25
Terraced,H1,hybrid_bidirectional,best,2228,3474,256,780,361,36
Terraced,H1,hybrid_bidirectional,worst,2554,3482,318,894,414,27
Terraced,H1,safe_unidirectional,best,2497,3313,536,874,405,25
Terraced,H1,safe_unidirectional,worst,2698,3313,604,944,437,19
Terraced,H2,hybrid_bidirectional,best,1289,2972,139,451,209,57
Terraced,H2,hybrid_bidirectional,worst,1704,2980,189,596,276,43
Terraced,H2,safe_unidirectional,best,1974,2788,499,691,320,29
Terraced,H2,safe_unidirectional,worst,2175,2788,567,761,352,22
Terraced,H3,hybrid_bidirectional,best,745,2595,112,261,121,71
Terraced,H3,hybrid_bidirectional,worst,1182,2580,191,414,192,54
Terraced,H3,safe_unidirectional,best,1623,2423,475,568,263,33
Terraced,H3,safe_unidirectional,worst,1819,2423,542,637,295,25
